issue_d,sub_grade,term,home_ownership,fico_range_low,pub_rec,revol_util,int_rate,application_type,verification_status,addr_state,fico_range_high,id,emp_length,loan_status
2015-11-01,A2,36 months,MORTGAGE,720.0,0.0,83.2,6.24,Individual,Verified,VA,724.0,63400810,11.0,1
2016-03-01,B1,36 months,OWN,665.0,0.0,54.5,8.39,Joint App,Source Verified,AL,669.0,71737331,3.0,0
2014-10-01,A5,36 months,MORTGAGE,690.0,0.0,56.7,8.39,Individual,Not Verified,NV,694.0,30806084,11.0,1
2014-10-01,A5,36 months,RENT,670.0,0.0,93.0,8.39,Individual,Not Verified,CA,674.0,32789628,11.0,1
2015-12-01,B1,36 months,MORTGAGE,670.0,0.0,89.4,8.38,Individual,Source Verified,AZ,674.0,66601261,8.0,1
2014-06-01,E3,60 months,MORTGAGE,660.0,0.0,96.9,20.2,Individual,Source Verified,UT,664.0,19316526,11.0,1
2015-06-01,C1,36 months,RENT,665.0,0.0,86.7,12.29,Individual,Not Verified,NY,669.0,50952954,11.0,0
2016-02-01,A5,60 months,MORTGAGE,735.0,0.0,17.2,7.89,Individual,Not Verified,TN,739.0,72664101,0.0,1
2015-01-01,B4,60 months,MORTGAGE,720.0,0.0,67.2,11.44,Individual,Source Verified,PA,724.0,39581757,8.0,1
2016-02-01,B3,36 months,RENT,700.0,0.0,73.2,9.75,Individual,Source Verified,CT,704.0,70671928,5.0,1
2015-09-01,C2,36 months,MORTGAGE,690.0,0.0,58.1,12.69,Individual,Not Verified,CA,694.0,60547642,0.0,1
2016-04-01,D2,36 months,RENT,805.0,0.0,0.0,17.27,Individual,Source Verified,CA,809.0,76403542,6.0,0
2015-01-01,D3,60 months,MORTGAGE,685.0,0.0,91.8,16.49,Individual,Verified,CO,689.0,38952283,11.0,1
2015-05-01,C3,36 months,RENT,670.0,0.0,81.7,13.33,Individual,Not Verified,CA,674.0,48615813,8.0,1
2016-06-01,B3,36 months,RENT,700.0,0.0,28.9,9.75,Individual,Source Verified,MD,704.0,79795363,5.0,0
2016-06-01,A2,36 months,MORTGAGE,705.0,0.0,78.0,6.49,Individual,Verified,CO,709.0,79552273,0.0,1
2016-02-01,D1,60 months,MORTGAGE,675.0,0.0,39.8,16.29,Individual,Source Verified,WA,679.0,72043277,11.0,1
2015-03-01,D1,36 months,RENT,665.0,0.0,59.7,15.61,Individual,Not Verified,NV,669.0,44025245,1.0,0
2014-05-01,E1,36 months,MORTGAGE,675.0,0.0,4.0,19.99,Individual,Verified,AL,679.0,14918875,2.0,1
2014-10-01,C5,36 months,RENT,700.0,0.0,65.4,14.99,Individual,Not Verified,CA,704.0,28712753,8.0,1
2014-08-01,A1,36 months,MORTGAGE,750.0,0.0,50.7,6.03,Individual,Not Verified,CA,754.0,25387338,0.0,1
2015-12-01,C1,36 months,MORTGAGE,710.0,0.0,48.0,11.99,Individual,Source Verified,IL,714.0,66094580,2.0,1
2014-06-01,C5,36 months,RENT,660.0,0.0,44.2,14.99,Individual,Source Verified,OH,664.0,17805330,2.0,1
2014-05-01,C4,36 months,RENT,675.0,0.0,57.1,14.49,Individual,Source Verified,TX,679.0,16281261,2.0,1
2015-07-01,A1,36 months,RENT,680.0,0.0,39.5,5.32,Individual,Not Verified,CA,684.0,54869000,1.0,1
2015-11-01,C2,36 months,RENT,700.0,0.0,83.3,12.59,Individual,Not Verified,CA,704.0,63969419,1.0,1
2015-11-01,B2,36 months,MORTGAGE,730.0,0.0,58.5,9.17,Individual,Source Verified,MO,734.0,63388657,1.0,1
2015-01-01,C2,36 months,MORTGAGE,680.0,0.0,71.6,12.99,Individual,Source Verified,CT,684.0,38477648,5.0,1
2015-06-01,B4,36 months,MORTGAGE,705.0,0.0,69.6,10.99,Individual,Not Verified,AL,709.0,51195885,11.0,1
2016-05-01,E5,60 months,MORTGAGE,660.0,0.0,98.2,22.45,Individual,Source Verified,SC,664.0,76123135,0.0,0
2014-01-01,A3,36 months,RENT,705.0,0.0,68.5,7.62,Individual,Verified,IL,709.0,10071785,3.0,1
2015-10-01,C2,36 months,RENT,715.0,0.0,65.4,12.69,Individual,Source Verified,CO,719.0,61319126,9.0,1
2014-05-01,A5,36 months,MORTGAGE,695.0,0.0,63.2,8.9,Individual,Source Verified,WA,699.0,15521216,4.0,1
2014-09-01,B2,36 months,MORTGAGE,730.0,0.0,33.6,10.15,Individual,Source Verified,IN,734.0,26028130,9.0,1
2016-04-01,D1,60 months,OWN,700.0,0.0,32.2,16.29,Individual,Not Verified,TX,704.0,76423263,11.0,0
2016-06-01,C4,36 months,MORTGAGE,665.0,0.0,44.0,14.46,Individual,Verified,TN,669.0,79731867,11.0,0
2015-01-01,E3,60 months,MORTGAGE,680.0,1.0,44.3,19.99,Individual,Verified,OH,684.0,40530131,1.0,1
2014-01-01,B3,36 months,MORTGAGE,685.0,0.0,61.7,11.99,Individual,Verified,MO,689.0,668016,3.0,1
2014-07-01,D1,60 months,MORTGAGE,675.0,0.0,63.3,15.61,Individual,Verified,MI,679.0,20689629,11.0,1
2015-02-01,B2,36 months,OWN,710.0,0.0,11.8,9.17,Individual,Verified,WA,714.0,41338991,11.0,1
2015-10-01,E1,36 months,MORTGAGE,700.0,0.0,82.9,18.25,Individual,Source Verified,TX,704.0,61512947,5.0,1
2015-01-01,E2,36 months,RENT,660.0,0.0,53.7,19.24,Individual,Source Verified,GA,664.0,37721749,5.0,1
2016-05-01,B5,36 months,RENT,675.0,0.0,57.6,11.47,Individual,Verified,FL,679.0,78408975,2.0,1
2014-09-01,A4,36 months,OWN,780.0,0.0,20.1,7.69,Individual,Source Verified,OH,784.0,27400111,11.0,1
2015-01-01,B4,36 months,OWN,660.0,0.0,41.2,11.44,Individual,Not Verified,GA,664.0,38429295,1.0,1
2015-11-01,B1,36 months,MORTGAGE,690.0,1.0,30.6,8.18,Individual,Verified,IL,694.0,63509759,9.0,1
2016-01-01,B4,36 months,OWN,705.0,0.0,29.5,10.78,Individual,Not Verified,FL,709.0,69655115,3.0,1
