issue_d,sub_grade,term,home_ownership,fico_range_low,total_acc,pub_rec,revol_util,annual_inc,int_rate,dti,purpose,mort_acc,loan_amnt,application_type,installment,verification_status,pub_rec_bankruptcies,addr_state,initial_list_status,fico_range_high,revol_bal,id,open_acc,emp_length,loan_status,time_to_earliest_cr_line
2014-01-01,C4, 60 months,MORTGAGE,665.0,36.0,0.0,76.0,54000.0,15.61,18.96,debt_consolidation,6.0,18200.0,Individual,438.83,Verified,0.0,FL,f,669.0,8819.0,10725850,19.0,11.0,1,457747.2
2014-01-01,C1, 36 months,MORTGAGE,700.0,35.0,0.0,58.2,148000.0,13.98,12.16,debt_consolidation,5.0,15000.0,Individual,512.52,Verified,0.0,AR,f,704.0,9430.0,10785637,16.0,11.0,1,426124.8
2014-01-01,D2, 36 months,RENT,675.0,20.0,0.0,39.7,93000.0,17.57,12.66,debt_consolidation,1.0,8000.0,Individual,287.5,Source Verified,0.0,CO,f,679.0,4445.0,10705700,9.0,11.0,0,515462.4
2014-01-01,C2, 36 months,MORTGAGE,665.0,31.0,1.0,74.0,64714.88,14.47,9.29,debt_consolidation,7.0,10000.0,Individual,344.07,Not Verified,1.0,CA,w,669.0,11613.0,10735836,8.0,11.0,1,765331.2
2014-01-01,C5, 36 months,MORTGAGE,660.0,37.0,0.0,50.4,40000.0,16.24,5.68,home_improvement,4.0,12000.0,Individual,423.31,Verified,0.0,WA,f,664.0,4939.0,10695835,8.0,11.0,1,626054.4
2014-01-01,D2, 36 months,MORTGAGE,660.0,23.0,7.0,89.1,73000.0,17.57,20.96,other,1.0,8000.0,Individual,287.5,Verified,1.0,CO,f,664.0,14885.0,10705805,11.0,11.0,0,941587.2
2014-01-01,E1, 60 months,MORTGAGE,710.0,35.0,0.0,72.3,72000.0,20.5,21.92,medical,4.0,25050.0,Individual,670.67,Verified,0.0,TX,f,714.0,49111.0,10171127,14.0,11.0,1,612835.2
2014-01-01,C2, 36 months,MORTGAGE,665.0,27.0,0.0,56.9,60000.0,14.47,28.14,credit_card,4.0,15000.0,Individual,516.1,Source Verified,0.0,FL,f,669.0,9781.0,10675824,11.0,8.0,1,1286064.0
2014-01-01,B2, 36 months,RENT,715.0,27.0,0.0,56.7,125000.0,10.99,7.71,credit_card,3.0,30000.0,Individual,982.02,Verified,0.0,IL,w,719.0,40821.0,10546043,14.0,2.0,1,860025.6
2014-01-01,B1, 36 months,MORTGAGE,690.0,21.0,1.0,54.5,96000.0,9.67,14.66,credit_card,0.0,18000.0,Individual,578.03,Not Verified,1.0,CA,w,694.0,9263.0,10163105,11.0,8.0,1,426124.8
2014-01-01,C2, 36 months,RENT,760.0,14.0,0.0,2.5,64000.0,14.47,4.86,other,0.0,3825.0,Individual,131.61,Not Verified,0.0,NJ,f,764.0,104.0,10765743,5.0,2.0,1,197337.6
2014-01-01,B5, 36 months,RENT,680.0,17.0,0.0,90.3,59000.0,13.53,8.83,debt_consolidation,4.0,8000.0,Individual,271.6,Source Verified,0.0,KY,w,684.0,6319.0,10695746,4.0,11.0,1,318297.6
2014-01-01,D3, 60 months,MORTGAGE,680.0,37.0,0.0,42.4,65000.0,18.25,16.89,debt_consolidation,3.0,15600.0,Individual,398.27,Source Verified,0.0,TX,f,684.0,8047.0,10735217,18.0,11.0,1,628473.6
2014-01-01,B5, 36 months,MORTGAGE,660.0,20.0,1.0,65.5,94857.59,13.53,12.96,debt_consolidation,0.0,16000.0,Individual,543.2,Not Verified,1.0,TX,f,664.0,8185.0,10735520,14.0,8.0,1,402451.2
2014-01-01,A4, 36 months,RENT,710.0,31.0,0.0,40.6,73000.0,7.9,24.95,credit_card,0.0,22000.0,Individual,688.39,Verified,0.0,TX,f,714.0,20906.0,10576236,20.0,4.0,1,342057.6
2014-01-01,D1, 36 months,RENT,695.0,10.0,0.0,65.0,62649.0,16.99,16.72,moving,0.0,2400.0,Individual,85.56,Source Verified,0.0,FL,f,699.0,6083.0,10577183,5.0,2.0,1,334108.8
2014-01-01,B1, 36 months,MORTGAGE,685.0,62.0,0.0,81.2,118000.0,9.67,28.68,credit_card,1.0,11625.0,Individual,373.31,Verified,0.0,NJ,f,689.0,42366.0,10098605,31.0,0.0,1,483926.4
2014-01-01,B3, 36 months,RENT,675.0,30.0,0.0,51.9,40000.0,11.99,26.76,credit_card,0.0,9000.0,Individual,298.89,Not Verified,0.0,IL,w,679.0,16924.0,10755603,12.0,2.0,1,363052.8
2014-01-01,D4, 36 months,RENT,690.0,10.0,0.0,95.2,48000.0,19.22,15.25,credit_card,0.0,9450.0,Individual,347.46,Verified,0.0,HI,f,694.0,6284.0,9654563,6.0,6.0,1,775872.0
2014-01-01,B1, 36 months,MORTGAGE,690.0,36.0,0.0,47.8,87000.0,9.67,15.23,debt_consolidation,1.0,10000.0,Individual,321.13,Not Verified,0.0,TN,w,694.0,13776.0,10785136,14.0,11.0,1,541728.0
2014-01-01,C4, 36 months,RENT,670.0,16.0,1.0,92.1,57000.0,15.61,33.12,debt_consolidation,0.0,12000.0,Individual,419.58,Verified,1.0,CA,f,674.0,17967.0,10754819,11.0,2.0,1,423446.4
2014-01-01,D2, 36 months,MORTGAGE,665.0,23.0,0.0,55.4,90000.0,17.57,9.63,debt_consolidation,3.0,17000.0,Individual,610.93,Verified,0.0,CO,w,669.0,24534.0,10755525,10.0,11.0,1,528681.6
2014-01-01,B5, 60 months,MORTGAGE,710.0,21.0,0.0,41.9,87360.0,13.53,10.76,debt_consolidation,1.0,21000.0,Individual,483.54,Source Verified,0.0,TN,w,714.0,18884.0,10715504,9.0,11.0,1,557625.6
2014-01-01,D2, 36 months,MORTGAGE,665.0,25.0,0.0,75.1,54000.0,17.57,8.76,credit_card,2.0,12000.0,Individual,431.25,Not Verified,0.0,FL,f,669.0,10519.0,10138072,9.0,11.0,1,352425.6
2014-01-01,B4, 36 months,MORTGAGE,665.0,23.0,1.0,66.0,65000.0,12.85,4.54,credit_card,4.0,10000.0,Individual,336.22,Verified,1.0,AZ,f,669.0,6386.0,10755605,6.0,11.0,1,694310.4
2014-01-01,C5, 36 months,MORTGAGE,680.0,20.0,0.0,39.1,118000.0,16.24,22.61,debt_consolidation,2.0,35000.0,Individual,1234.65,Source Verified,0.0,TX,f,684.0,30634.0,10705658,14.0,5.0,0,349833.6
2014-01-01,G4, 36 months,RENT,675.0,31.0,0.0,79.3,200000.0,25.99,8.1,small_business,0.0,35000.0,Individual,1409.99,Source Verified,0.0,CA,w,679.0,30277.0,10597889,10.0,5.0,1,452390.4
2014-01-01,A4, 36 months,MORTGAGE,735.0,34.0,0.0,25.1,50000.0,7.9,15.79,debt_consolidation,3.0,10775.0,Individual,337.16,Not Verified,0.0,TX,w,739.0,19745.0,10735683,18.0,11.0,1,368323.2
2014-01-01,E2, 36 months,MORTGAGE,660.0,56.0,0.0,58.7,63000.0,21.48,14.97,debt_consolidation,7.0,10975.0,Individual,416.2,Source Verified,0.0,TX,f,664.0,7277.0,10638002,12.0,11.0,1,491875.2
2014-01-01,D5, 36 months,MORTGAGE,660.0,19.0,0.0,88.2,135000.0,19.97,10.36,credit_card,1.0,19750.0,Individual,733.68,Verified,0.0,NY,f,664.0,25915.0,10695727,13.0,5.0,1,192067.2
2014-01-01,B2, 36 months,MORTGAGE,670.0,17.0,0.0,51.7,101000.0,10.99,5.99,debt_consolidation,5.0,18000.0,Individual,589.22,Source Verified,0.0,GA,w,674.0,26645.0,10128653,5.0,0.0,1,486604.8
2014-01-01,A3, 36 months,RENT,720.0,60.0,1.0,26.6,73000.0,7.62,13.68,credit_card,0.0,12000.0,Individual,373.94,Not Verified,1.0,GA,f,724.0,14804.0,10725222,30.0,3.0,1,352425.6
2014-01-01,B5, 36 months,OWN,670.0,14.0,0.0,67.3,25000.0,13.53,10.99,home_improvement,0.0,2500.0,Individual,84.88,Source Verified,0.0,FL,f,674.0,4038.0,10675736,5.0,7.0,1,712800.0
2014-01-01,E5, 60 months,RENT,675.0,10.0,0.0,99.9,150000.0,23.4,13.38,debt_consolidation,0.0,20800.0,Individual,591.16,Source Verified,0.0,TX,f,679.0,23577.0,6895091,4.0,11.0,1,691632.0
2014-01-01,C2, 36 months,RENT,670.0,21.0,0.0,42.2,39902.72,14.47,4.84,major_purchase,0.0,8000.0,Individual,275.26,Not Verified,0.0,MA,f,674.0,1983.0,10715672,8.0,11.0,1,412905.6
2014-01-01,E2, 60 months,MORTGAGE,670.0,23.0,0.0,41.9,56000.0,21.48,20.96,debt_consolidation,7.0,20550.0,Individual,561.51,Verified,0.0,VA,f,674.0,11050.0,10598664,10.0,11.0,1,455068.8
2014-01-01,B5, 36 months,RENT,675.0,46.0,0.0,63.4,95000.0,13.53,14.66,debt_consolidation,1.0,20000.0,Individual,679.0,Verified,0.0,TX,f,679.0,26378.0,10705609,12.0,6.0,1,326160.0
2014-01-01,C4, 60 months,MORTGAGE,660.0,24.0,1.0,28.3,256000.0,15.61,6.69,home_improvement,4.0,12000.0,Individual,289.34,Source Verified,1.0,NH,w,664.0,3110.0,10597754,8.0,7.0,1,423446.4
2014-01-01,B5, 36 months,OWN,685.0,12.0,0.0,53.7,36000.0,13.53,23.9,medical,0.0,10000.0,Individual,339.5,Verified,0.0,MD,f,689.0,8157.0,10745648,7.0,4.0,1,405129.6
2014-01-01,C4, 60 months,RENT,690.0,10.0,1.0,60.8,87000.0,15.61,14.29,debt_consolidation,0.0,22000.0,Individual,530.45,Verified,1.0,NY,f,694.0,9182.0,10675669,7.0,11.0,1,883612.8
2014-01-01,D1, 36 months,RENT,660.0,31.0,1.0,68.9,37000.0,16.99,22.87,debt_consolidation,0.0,5675.0,Individual,202.31,Verified,1.0,MN,f,664.0,6545.0,10735562,12.0,11.0,1,641692.8
2014-01-01,D1, 36 months,MORTGAGE,675.0,19.0,1.0,68.5,60000.0,16.99,18.0,debt_consolidation,2.0,20000.0,Individual,712.96,Source Verified,0.0,WV,f,679.0,11994.0,10764612,11.0,11.0,1,604886.4
2014-01-01,B1, 36 months,RENT,695.0,12.0,1.0,42.4,55000.0,9.67,17.72,credit_card,0.0,4500.0,Individual,144.51,Not Verified,1.0,IL,f,699.0,11098.0,10676079,7.0,3.0,1,489283.2
2014-01-01,C3, 60 months,MORTGAGE,700.0,15.0,0.0,72.5,85000.0,14.98,13.71,credit_card,1.0,15000.0,Individual,356.7,Source Verified,0.0,TX,f,704.0,16158.0,10696160,9.0,11.0,1,423446.4
2014-01-01,A3, 36 months,MORTGAGE,715.0,36.0,0.0,7.4,107000.0,7.62,4.05,credit_card,6.0,15200.0,Individual,473.66,Not Verified,0.0,NJ,w,719.0,2173.0,10755953,4.0,0.0,1,391910.4
2014-01-01,C2, 60 months,MORTGAGE,675.0,17.0,1.0,85.6,52000.0,14.47,27.46,debt_consolidation,3.0,20000.0,Individual,470.26,Source Verified,1.0,MO,f,679.0,34918.0,10775915,7.0,11.0,1,631152.0
2014-01-01,C3, 36 months,RENT,690.0,21.0,0.0,35.7,48000.0,14.98,8.74,house,0.0,17050.0,Individual,590.88,Verified,0.0,CA,f,694.0,14224.0,10765841,14.0,11.0,1,281318.4
2014-01-01,D2, 60 months,MORTGAGE,660.0,19.0,0.0,75.3,74500.0,17.57,18.01,credit_card,0.0,16475.0,Individual,414.52,Source Verified,0.0,WA,f,664.0,12484.0,10765943,10.0,11.0,1,436665.6
2014-01-01,C3, 36 months,MORTGAGE,660.0,16.0,0.0,77.7,120000.0,14.98,3.74,home_improvement,2.0,9000.0,Individual,311.9,Verified,0.0,SC,f,664.0,9637.0,10785206,8.0,5.0,1,752284.8
2014-01-01,A5, 36 months,OWN,730.0,21.0,0.0,69.1,100800.0,8.9,25.52,debt_consolidation,2.0,34475.0,Individual,1094.7,Verified,0.0,MA,f,734.0,30540.0,10725973,12.0,11.0,1,817862.4
2014-01-01,B5, 36 months,MORTGAGE,660.0,9.0,0.0,67.8,35000.0,13.53,4.29,credit_card,1.0,8000.0,Individual,271.6,Not Verified,0.0,GA,w,664.0,6310.0,10595720,8.0,1.0,1,326160.0
2014-01-01,A4, 36 months,RENT,695.0,15.0,0.0,82.5,95000.0,7.9,14.74,credit_card,0.0,23800.0,Individual,744.71,Verified,0.0,CA,w,699.0,22775.0,9787977,5.0,2.0,1,739065.6
2014-01-01,A5, 36 months,MORTGAGE,705.0,5.0,1.0,54.0,40300.0,8.9,4.79,credit_card,2.0,11000.0,Individual,349.29,Source Verified,1.0,FL,f,709.0,5940.0,10555675,4.0,11.0,1,389232.0
2014-01-01,C1, 36 months,OWN,675.0,13.0,0.0,56.3,24000.0,13.98,8.85,debt_consolidation,3.0,7550.0,Individual,257.97,Not Verified,0.0,MD,w,679.0,8731.0,10726119,4.0,11.0,0,349833.6
2014-01-01,B4, 36 months,RENT,705.0,36.0,0.0,28.4,200000.0,12.85,7.72,debt_consolidation,2.0,16000.0,Individual,537.95,Source Verified,0.0,NY,w,709.0,21758.0,10736050,20.0,0.0,1,594518.4
2014-01-01,B2, 36 months,RENT,680.0,25.0,0.0,57.2,46000.0,10.99,10.46,credit_card,0.0,8000.0,Individual,261.88,Verified,0.0,WA,f,684.0,6981.0,10746044,12.0,11.0,1,520819.2
2014-01-01,C1, 36 months,RENT,695.0,42.0,0.0,70.7,104000.0,13.98,16.47,debt_consolidation,0.0,33600.0,Individual,1148.05,Verified,0.0,NY,f,699.0,32968.0,10745913,30.0,2.0,1,528681.6
2014-01-01,C5, 60 months,MORTGAGE,725.0,35.0,0.0,79.1,124000.0,16.24,18.45,debt_consolidation,4.0,32000.0,Individual,782.27,Source Verified,0.0,MN,f,729.0,32278.0,10765975,13.0,0.0,1,817862.4
2014-01-01,C4, 60 months,RENT,710.0,31.0,0.0,32.1,60000.0,15.61,21.8,debt_consolidation,0.0,14000.0,Individual,337.56,Verified,0.0,NY,w,714.0,14562.0,10735583,18.0,11.0,1,491875.2
2014-01-01,C3, 36 months,MORTGAGE,680.0,16.0,0.0,51.0,38448.0,14.98,23.81,debt_consolidation,2.0,15000.0,Individual,519.84,Verified,0.0,AZ,w,684.0,6778.0,10766012,8.0,7.0,1,249782.4
2014-01-01,D2, 60 months,RENT,675.0,18.0,0.0,84.0,51000.0,17.57,30.02,debt_consolidation,0.0,12000.0,Individual,301.93,Verified,0.0,WA,f,679.0,6552.0,10567128,7.0,4.0,1,618105.6
2014-01-01,A5, 36 months,RENT,765.0,9.0,0.0,6.0,45000.0,8.9,7.2,debt_consolidation,0.0,9000.0,Individual,285.78,Not Verified,0.0,OR,f,769.0,2015.0,10121321,6.0,0.0,1,297216.0
2014-01-01,D1, 36 months,MORTGAGE,665.0,23.0,0.0,43.7,51000.0,16.99,4.16,debt_consolidation,4.0,7750.0,Individual,276.28,Not Verified,0.0,SC,f,669.0,5944.0,10597690,10.0,11.0,1,394588.8
2014-01-01,E5, 60 months,MORTGAGE,665.0,33.0,0.0,78.8,67000.0,23.4,16.01,debt_consolidation,4.0,24000.0,Individual,682.1,Source Verified,0.0,MA,w,669.0,27100.0,10163647,19.0,11.0,1,794188.8
2014-01-01,C3, 36 months,RENT,685.0,27.0,0.0,63.0,51000.0,14.98,34.75,debt_consolidation,0.0,17500.0,Individual,606.48,Verified,0.0,CA,f,689.0,16182.0,10404657,14.0,7.0,1,460339.2
2014-01-01,C3, 36 months,MORTGAGE,670.0,16.0,0.0,73.9,90000.0,14.98,20.43,debt_consolidation,3.0,7000.0,Individual,242.59,Not Verified,0.0,NH,f,674.0,29763.0,10565640,9.0,8.0,1,426124.8
2014-01-01,B3, 36 months,RENT,660.0,44.0,0.0,68.9,145000.0,11.99,28.03,debt_consolidation,0.0,20000.0,Individual,664.2,Verified,0.0,CA,f,664.0,28325.0,10179270,12.0,2.0,1,718070.4
2014-01-01,C3, 36 months,MORTGAGE,700.0,16.0,0.0,49.8,39000.0,14.98,27.89,debt_consolidation,1.0,8000.0,Individual,277.25,Not Verified,0.0,CA,f,704.0,20652.0,10555709,9.0,2.0,1,815356.8
2014-01-01,C1, 36 months,RENT,710.0,22.0,0.0,52.8,25000.0,13.98,27.99,debt_consolidation,0.0,10000.0,Individual,341.68,Not Verified,0.0,CA,w,714.0,5385.0,10725828,11.0,2.0,1,633830.4
2014-01-01,B5, 36 months,MORTGAGE,750.0,48.0,0.0,44.2,120000.0,13.53,20.58,debt_consolidation,2.0,35000.0,Individual,1188.25,Verified,0.0,PA,f,754.0,16370.0,10715577,12.0,8.0,1,520819.2
2014-01-01,C1, 36 months,MORTGAGE,705.0,37.0,0.0,59.7,100000.0,13.98,15.11,credit_card,2.0,24000.0,Individual,820.04,Verified,0.0,WI,f,709.0,29359.0,10705848,18.0,6.0,1,391910.4
2014-01-01,B4, 36 months,RENT,695.0,28.0,1.0,65.5,65000.0,12.85,25.15,debt_consolidation,0.0,17950.0,Individual,603.52,Verified,1.0,MA,f,699.0,11524.0,10755888,12.0,5.0,1,739065.6
2014-01-01,C1, 36 months,OWN,675.0,19.0,0.0,42.2,20600.0,13.98,22.03,debt_consolidation,0.0,7500.0,Individual,256.26,Verified,0.0,CA,f,679.0,9161.0,10695826,9.0,0.0,1,544406.4
2014-01-01,B5, 36 months,RENT,685.0,21.0,0.0,79.2,42849.0,13.53,22.65,debt_consolidation,0.0,15000.0,Individual,509.25,Verified,0.0,FL,w,689.0,14248.0,10765673,9.0,1.0,1,628473.6
2014-01-01,C2, 36 months,MORTGAGE,680.0,20.0,0.0,40.8,46800.0,14.47,16.31,other,0.0,6000.0,Individual,206.44,Not Verified,0.0,NY,w,684.0,7185.0,10765715,8.0,7.0,1,339379.2
2014-01-01,C4, 60 months,RENT,700.0,32.0,0.0,19.1,45000.0,15.61,25.07,debt_consolidation,0.0,19750.0,Individual,476.2,Source Verified,0.0,TN,f,704.0,4744.0,10785648,20.0,0.0,0,323568.0
2014-01-01,E1, 36 months,RENT,660.0,21.0,0.0,82.3,56457.0,20.5,12.39,debt_consolidation,0.0,13600.0,Individual,508.9,Not Verified,0.0,TX,f,664.0,8885.0,10755800,12.0,9.0,1,318297.6
2014-01-01,E3, 60 months,MORTGAGE,670.0,32.0,0.0,76.2,168000.0,22.4,10.71,debt_consolidation,1.0,35000.0,Individual,974.64,Verified,0.0,GA,f,674.0,30337.0,10775791,16.0,5.0,1,455068.8
2014-01-01,B2, 36 months,OWN,665.0,26.0,0.0,73.0,90000.0,10.99,21.01,credit_card,7.0,20000.0,Individual,654.68,Verified,0.0,PA,w,669.0,26167.0,10755531,11.0,11.0,1,781142.4
2014-01-01,A5, 36 months,MORTGAGE,670.0,20.0,1.0,21.0,74000.0,8.9,12.93,debt_consolidation,2.0,12000.0,Individual,381.04,Not Verified,1.0,TX,w,674.0,4755.0,10715756,8.0,11.0,1,465609.6
2014-01-01,C3, 60 months,MORTGAGE,800.0,29.0,0.0,0.0,115000.0,14.98,22.64,debt_consolidation,4.0,35000.0,Individual,832.29,Source Verified,0.0,UT,f,804.0,0.0,10745651,12.0,6.0,1,310435.2
2014-01-01,C2, 36 months,MORTGAGE,665.0,35.0,0.0,1.7,110000.0,14.47,12.75,debt_consolidation,4.0,5000.0,Individual,172.04,Source Verified,0.0,AZ,f,669.0,59.0,10765805,8.0,9.0,1,636422.4
2014-01-01,B2, 36 months,RENT,685.0,8.0,0.0,81.3,30000.0,10.99,12.32,moving,0.0,10000.0,Individual,327.34,Not Verified,0.0,NY,f,689.0,9024.0,10735855,8.0,3.0,1,352425.6
2014-01-01,C1, 60 months,MORTGAGE,745.0,16.0,0.0,50.3,53000.0,13.98,28.51,debt_consolidation,1.0,16000.0,Individual,372.13,Source Verified,0.0,TX,f,749.0,22212.0,10735846,9.0,11.0,0,557625.6
2014-01-01,C1, 36 months,RENT,695.0,14.0,0.0,74.3,42000.0,13.98,15.86,debt_consolidation,3.0,16750.0,Individual,572.32,Not Verified,0.0,GA,w,699.0,24816.0,10775753,5.0,2.0,1,839030.4
2014-01-01,D1, 36 months,OWN,670.0,26.0,1.0,64.7,28000.0,16.99,15.87,debt_consolidation,0.0,5600.0,Individual,199.63,Source Verified,1.0,IN,w,674.0,9060.0,10675869,9.0,0.0,1,1196553.6
2014-01-01,B2, 36 months,RENT,685.0,19.0,0.0,65.5,60000.0,10.99,10.56,credit_card,0.0,11000.0,Individual,360.08,Not Verified,0.0,NY,f,689.0,9439.0,10536463,10.0,11.0,1,483926.4
2014-01-01,C2, 60 months,RENT,750.0,23.0,0.0,42.6,160000.0,14.47,5.79,debt_consolidation,3.0,30000.0,Individual,705.38,Verified,0.0,NC,f,754.0,72266.0,10674880,10.0,0.0,1,528681.6
2014-01-01,A2, 36 months,MORTGAGE,715.0,34.0,0.0,76.1,60000.0,6.62,3.08,credit_card,2.0,6000.0,Individual,184.23,Source Verified,0.0,KS,f,719.0,5329.0,10695955,4.0,0.0,1,736387.2
2014-01-01,D3, 36 months,RENT,680.0,17.0,0.0,73.5,60000.0,18.25,23.76,debt_consolidation,1.0,4800.0,Individual,174.14,Source Verified,0.0,FL,f,684.0,17944.0,10735986,12.0,11.0,1,402451.2
2014-01-01,C5, 36 months,MORTGAGE,670.0,15.0,0.0,94.1,74000.0,16.24,21.8,home_improvement,1.0,4800.0,Individual,169.33,Not Verified,0.0,TX,f,674.0,4985.0,10745941,9.0,9.0,1,665366.4
2014-01-01,D2, 60 months,RENT,690.0,32.0,0.0,49.7,59000.0,17.57,29.19,debt_consolidation,2.0,10000.0,Individual,251.61,Source Verified,0.0,CT,f,694.0,6461.0,10695977,11.0,11.0,1,752284.8
2014-01-01,B4, 36 months,RENT,795.0,39.0,0.0,14.7,120000.0,12.85,11.89,debt_consolidation,7.0,29175.0,Individual,980.92,Source Verified,0.0,TX,f,799.0,7374.0,10647278,16.0,1.0,1,760060.8
2014-01-01,A5, 36 months,MORTGAGE,695.0,31.0,0.0,57.5,60000.0,8.9,23.96,credit_card,1.0,24000.0,Individual,762.08,Verified,0.0,NV,w,699.0,23348.0,10676044,15.0,6.0,1,568080.0
2014-01-01,C5, 60 months,MORTGAGE,710.0,27.0,0.0,57.3,70000.0,16.24,7.23,debt_consolidation,1.0,19400.0,Individual,474.25,Source Verified,0.0,CA,w,714.0,13646.0,10705885,13.0,5.0,1,418176.0
2014-01-01,B2, 60 months,MORTGAGE,795.0,22.0,0.0,33.4,59000.0,10.99,20.32,debt_consolidation,5.0,24000.0,Individual,521.7,Verified,0.0,NH,f,799.0,5907.0,10725914,7.0,11.0,1,604886.4
2014-01-01,C1, 36 months,MORTGAGE,670.0,63.0,1.0,40.0,85000.0,13.98,18.52,debt_consolidation,5.0,10000.0,Individual,341.68,Not Verified,1.0,CA,w,674.0,4573.0,10694992,11.0,11.0,1,670636.8
2014-01-01,A4, 36 months,MORTGAGE,725.0,33.0,0.0,96.7,108000.0,7.9,27.25,debt_consolidation,5.0,27000.0,Individual,844.84,Source Verified,0.0,GA,w,729.0,22039.0,10715895,9.0,11.0,1,483926.4
